,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1568884500000,41.75,82.0,39.95,71.6,197260,,26900,weekly,2019-9-19T21:00:00.000,options,put
1,1568884560000,71.25,85.15,71.25,79.65,179680,,26900,weekly,2019-9-19T21:00:00.000,options,put
2,1568884620000,78.65,78.9,69.75,74.95,162660,,26900,weekly,2019-9-19T21:00:00.000,options,put
3,1568884680000,76.1,86.15,75.05,82.9,163940,,26900,weekly,2019-9-19T21:00:00.000,options,put
4,1568884740000,82.05,89.4,81.0,83.35,193640,,26900,weekly,2019-9-19T21:00:00.000,options,put
5,1568884800000,85.85,94.65,84.6,93.65,208020,,26900,weekly,2019-9-19T21:00:00.000,options,put
6,1568884860000,93.85,94.95,88.2,93.9,193460,,26900,weekly,2019-9-19T21:00:00.000,options,put
7,1568884920000,95.0,98.3,92.8,97.6,179360,,26900,weekly,2019-9-19T21:00:00.000,options,put
8,1568884980000,98.45,99.95,90.45,90.45,139880,,26900,weekly,2019-9-19T21:00:00.000,options,put
9,1568885040000,91.3,103.4,90.35,100.85,170040,,26900,weekly,2019-9-19T21:00:00.000,options,put
10,1568885100000,100.25,100.3,91.7,92.85,120400,,26900,weekly,2019-9-19T21:00:00.000,options,put
11,1568885160000,92.95,94.65,88.5,93.95,95940,,26900,weekly,2019-9-19T21:00:00.000,options,put
12,1568885220000,94.15,102.2,93.95,97.95,117260,,26900,weekly,2019-9-19T21:00:00.000,options,put
13,1568885280000,98.2,111.0,98.2,106.75,163580,,26900,weekly,2019-9-19T21:00:00.000,options,put
14,1568885340000,107.1,113.55,105.95,110.1,121280,,26900,weekly,2019-9-19T21:00:00.000,options,put
15,1568885400000,110.5,122.2,108.8,118.75,162200,,26900,weekly,2019-9-19T21:00:00.000,options,put
16,1568885460000,118.85,120.6,109.1,112.25,136400,,26900,weekly,2019-9-19T21:00:00.000,options,put
17,1568885520000,113.2,115.6,97.45,100.7,168220,,26900,weekly,2019-9-19T21:00:00.000,options,put
18,1568885580000,101.9,112.95,101.9,111.05,75960,,26900,weekly,2019-9-19T21:00:00.000,options,put
19,1568885640000,111.7,119.0,111.7,117.65,114340,,26900,weekly,2019-9-19T21:00:00.000,options,put
20,1568885700000,117.4,127.75,112.0,112.0,152600,,26900,weekly,2019-9-19T21:00:00.000,options,put
21,1568885760000,112.4,114.7,107.4,111.2,83680,,26900,weekly,2019-9-19T21:00:00.000,options,put
22,1568885820000,111.0,115.85,108.0,110.3,67400,,26900,weekly,2019-9-19T21:00:00.000,options,put
23,1568885880000,108.35,113.15,98.55,101.7,99280,,26900,weekly,2019-9-19T21:00:00.000,options,put
24,1568885940000,101.7,108.7,98.9,107.65,73760,,26900,weekly,2019-9-19T21:00:00.000,options,put
25,1568886000000,107.95,117.0,103.65,117.0,75460,,26900,weekly,2019-9-19T21:00:00.000,options,put
26,1568886060000,116.1,116.1,107.95,111.85,61840,,26900,weekly,2019-9-19T21:00:00.000,options,put
27,1568886120000,111.4,116.4,107.25,107.25,52380,,26900,weekly,2019-9-19T21:00:00.000,options,put
28,1568886180000,107.55,107.55,97.75,97.75,108960,,26900,weekly,2019-9-19T21:00:00.000,options,put
29,1568886240000,97.95,103.0,95.0,101.0,97660,,26900,weekly,2019-9-19T21:00:00.000,options,put
30,1568886300000,100.85,104.0,96.4,97.3,56160,,26900,weekly,2019-9-19T21:00:00.000,options,put
31,1568886360000,97.7,102.4,95.45,96.45,55020,,26900,weekly,2019-9-19T21:00:00.000,options,put
32,1568886420000,96.15,101.0,89.8,100.3,86260,,26900,weekly,2019-9-19T21:00:00.000,options,put
33,1568886480000,99.65,100.0,95.0,98.0,44460,,26900,weekly,2019-9-19T21:00:00.000,options,put
34,1568886540000,99.0,110.0,98.1,109.5,76740,,26900,weekly,2019-9-19T21:00:00.000,options,put
35,1568886600000,109.7,109.85,104.4,106.05,38240,,26900,weekly,2019-9-19T21:00:00.000,options,put
36,1568886660000,106.05,116.25,105.75,113.1,85400,,26900,weekly,2019-9-19T21:00:00.000,options,put
37,1568886720000,113.15,118.85,111.45,118.75,64380,,26900,weekly,2019-9-19T21:00:00.000,options,put
38,1568886780000,117.5,124.9,116.65,119.9,145720,,26900,weekly,2019-9-19T21:00:00.000,options,put
39,1568886840000,120.9,133.3,120.7,131.35,134620,,26900,weekly,2019-9-19T21:00:00.000,options,put
40,1568886900000,131.85,137.65,131.0,134.0,112220,,26900,weekly,2019-9-19T21:00:00.000,options,put
41,1568886960000,134.7,138.2,129.65,133.65,75860,,26900,weekly,2019-9-19T21:00:00.000,options,put
42,1568887020000,133.55,137.0,128.15,128.7,89540,,26900,weekly,2019-9-19T21:00:00.000,options,put
43,1568887080000,127.85,131.9,119.55,125.25,168040,,26900,weekly,2019-9-19T21:00:00.000,options,put
44,1568887140000,127.0,130.05,122.05,128.9,56440,,26900,weekly,2019-9-19T21:00:00.000,options,put
45,1568887200000,128.95,138.7,128.8,136.0,89360,,26900,weekly,2019-9-19T21:00:00.000,options,put
46,1568887260000,136.1,138.7,126.4,127.4,71520,,26900,weekly,2019-9-19T21:00:00.000,options,put
47,1568887320000,127.1,135.45,127.1,134.0,40400,,26900,weekly,2019-9-19T21:00:00.000,options,put
48,1568887380000,134.3,137.5,127.65,128.6,43140,,26900,weekly,2019-9-19T21:00:00.000,options,put
49,1568887440000,129.05,131.2,120.25,120.25,56580,,26900,weekly,2019-9-19T21:00:00.000,options,put
50,1568887500000,120.25,125.3,114.9,125.1,68780,,26900,weekly,2019-9-19T21:00:00.000,options,put
51,1568887560000,126.0,130.45,122.85,130.45,38420,,26900,weekly,2019-9-19T21:00:00.000,options,put
