,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1589514240000,87.9,106.35,81.45,81.45,440,,17400,weekly,2020-5-21T21:00:00.000,options,put
1,1589514300000,73.9,84.0,73.9,76.15,2420,,17400,weekly,2020-5-21T21:00:00.000,options,put
2,1589514360000,78.4,85.0,77.8,83.45,6400,,17400,weekly,2020-5-21T21:00:00.000,options,put
3,1589514420000,84.05,90.25,82.1,88.0,4560,,17400,weekly,2020-5-21T21:00:00.000,options,put
4,1589514480000,88.25,91.95,85.55,89.4,4860,,17400,weekly,2020-5-21T21:00:00.000,options,put
5,1589514540000,88.15,96.7,86.0,90.0,2800,,17400,weekly,2020-5-21T21:00:00.000,options,put
6,1589514600000,90.0,90.5,86.95,88.6,1580,,17400,weekly,2020-5-21T21:00:00.000,options,put
7,1589514660000,88.1,88.85,84.45,85.0,1380,,17400,weekly,2020-5-21T21:00:00.000,options,put
8,1589514720000,84.2,87.0,82.0,84.85,1560,,17400,weekly,2020-5-21T21:00:00.000,options,put
9,1589514780000,86.35,86.35,80.4,82.1,1480,,17400,weekly,2020-5-21T21:00:00.000,options,put
10,1589514840000,81.8,82.1,77.65,78.55,3400,,17400,weekly,2020-5-21T21:00:00.000,options,put
11,1589514900000,77.7,79.0,74.95,76.6,1720,,17400,weekly,2020-5-21T21:00:00.000,options,put
12,1589514960000,76.7,78.6,74.75,75.75,1520,,17400,weekly,2020-5-21T21:00:00.000,options,put
13,1589515020000,73.75,73.75,70.9,71.35,2700,,17400,weekly,2020-5-21T21:00:00.000,options,put
14,1589515080000,73.0,74.7,72.4,72.45,1140,,17400,weekly,2020-5-21T21:00:00.000,options,put
15,1589515140000,72.45,72.45,68.25,71.45,1880,,17400,weekly,2020-5-21T21:00:00.000,options,put
16,1589515200000,71.45,73.0,69.2,70.05,2160,,17400,weekly,2020-5-21T21:00:00.000,options,put
17,1589515260000,71.3,77.0,71.3,76.7,1060,,17400,weekly,2020-5-21T21:00:00.000,options,put
18,1589515320000,76.7,77.85,74.5,75.25,1520,,17400,weekly,2020-5-21T21:00:00.000,options,put
19,1589515380000,75.25,75.35,71.95,73.35,780,,17400,weekly,2020-5-21T21:00:00.000,options,put
20,1589515440000,71.9,74.4,71.9,74.05,560,,17400,weekly,2020-5-21T21:00:00.000,options,put
21,1589515500000,74.35,79.45,74.35,79.45,1260,,17400,weekly,2020-5-21T21:00:00.000,options,put
22,1589515560000,79.45,79.5,77.15,79.1,720,,17400,weekly,2020-5-21T21:00:00.000,options,put
23,1589515620000,79.1,81.5,77.85,80.6,1260,,17400,weekly,2020-5-21T21:00:00.000,options,put
24,1589515680000,80.6,80.95,76.75,78.2,1320,,17400,weekly,2020-5-21T21:00:00.000,options,put
25,1589515740000,78.25,82.95,78.25,82.5,540,,17400,weekly,2020-5-21T21:00:00.000,options,put
26,1589515800000,82.5,82.5,79.7,81.55,1280,,17400,weekly,2020-5-21T21:00:00.000,options,put
27,1589515860000,82.5,82.5,77.55,77.55,1600,,17400,weekly,2020-5-21T21:00:00.000,options,put
28,1589515920000,77.1,79.0,75.85,79.0,1140,,17400,weekly,2020-5-21T21:00:00.000,options,put
29,1589515980000,77.2,78.4,76.1,78.4,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
30,1589516040000,78.75,78.75,76.6,76.6,440,,17400,weekly,2020-5-21T21:00:00.000,options,put
31,1589516100000,76.75,77.25,74.75,76.6,720,,17400,weekly,2020-5-21T21:00:00.000,options,put
32,1589516160000,77.0,77.0,73.9,75.0,740,,17400,weekly,2020-5-21T21:00:00.000,options,put
33,1589516220000,74.55,75.1,72.4,72.55,520,,17400,weekly,2020-5-21T21:00:00.000,options,put
34,1589516280000,73.3,75.0,73.25,75.0,420,,17400,weekly,2020-5-21T21:00:00.000,options,put
35,1589516340000,75.8,77.25,75.5,76.7,1280,,17400,weekly,2020-5-21T21:00:00.000,options,put
36,1589516400000,76.2,79.25,76.2,79.25,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
37,1589516460000,79.25,80.1,76.95,77.2,3700,,17400,weekly,2020-5-21T21:00:00.000,options,put
38,1589516520000,77.85,79.05,77.55,78.65,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
39,1589516580000,78.65,80.8,77.85,80.8,680,,17400,weekly,2020-5-21T21:00:00.000,options,put
40,1589516640000,80.65,81.15,79.25,80.25,2300,,17400,weekly,2020-5-21T21:00:00.000,options,put
41,1589516700000,80.2,88.05,79.8,85.0,2240,,17400,weekly,2020-5-21T21:00:00.000,options,put
42,1589516760000,85.55,88.0,84.15,86.0,3340,,17400,weekly,2020-5-21T21:00:00.000,options,put
43,1589516820000,85.0,85.55,83.0,84.45,1760,,17400,weekly,2020-5-21T21:00:00.000,options,put
44,1589516880000,85.0,95.35,82.0,94.5,6600,,17400,weekly,2020-5-21T21:00:00.000,options,put
45,1589516940000,93.1,97.0,92.95,95.8,3860,,17400,weekly,2020-5-21T21:00:00.000,options,put
46,1589517000000,95.8,99.0,92.65,95.65,4380,,17400,weekly,2020-5-21T21:00:00.000,options,put
47,1589517060000,95.0,95.95,90.0,90.0,3240,,17400,weekly,2020-5-21T21:00:00.000,options,put
48,1589517120000,89.75,94.1,89.75,93.05,2400,,17400,weekly,2020-5-21T21:00:00.000,options,put
49,1589517180000,93.0,93.05,88.5,91.0,1480,,17400,weekly,2020-5-21T21:00:00.000,options,put
50,1589517240000,89.55,89.7,87.45,89.05,900,,17400,weekly,2020-5-21T21:00:00.000,options,put
51,1589517300000,89.6,90.25,89.0,89.05,700,,17400,weekly,2020-5-21T21:00:00.000,options,put
52,1589517360000,89.0,92.75,88.05,91.45,1520,,17400,weekly,2020-5-21T21:00:00.000,options,put
53,1589517420000,92.0,94.05,92.0,93.8,660,,17400,weekly,2020-5-21T21:00:00.000,options,put
54,1589517480000,91.5,93.55,91.05,93.55,840,,17400,weekly,2020-5-21T21:00:00.000,options,put
55,1589517540000,94.1,99.8,94.1,97.3,3540,,17400,weekly,2020-5-21T21:00:00.000,options,put
56,1589517600000,97.0,97.25,93.75,93.75,1940,,17400,weekly,2020-5-21T21:00:00.000,options,put
57,1589517660000,94.0,95.7,94.0,95.15,2460,,17400,weekly,2020-5-21T21:00:00.000,options,put
58,1589517720000,95.25,95.3,91.0,93.45,2360,,17400,weekly,2020-5-21T21:00:00.000,options,put
59,1589517780000,94.1,95.5,91.9,93.55,600,,17400,weekly,2020-5-21T21:00:00.000,options,put
60,1589517840000,92.7,95.75,92.7,95.75,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
61,1589517900000,93.4,96.9,93.4,96.9,1000,,17400,weekly,2020-5-21T21:00:00.000,options,put
62,1589517960000,96.35,96.5,93.75,94.0,1660,,17400,weekly,2020-5-21T21:00:00.000,options,put
63,1589518020000,94.0,95.15,92.55,92.55,520,,17400,weekly,2020-5-21T21:00:00.000,options,put
64,1589518080000,92.1,93.65,87.75,87.75,2680,,17400,weekly,2020-5-21T21:00:00.000,options,put
65,1589518140000,86.75,89.7,86.2,89.7,1260,,17400,weekly,2020-5-21T21:00:00.000,options,put
66,1589518200000,89.7,91.3,89.0,90.9,660,,17400,weekly,2020-5-21T21:00:00.000,options,put
67,1589518260000,90.7,90.7,87.9,89.25,500,,17400,weekly,2020-5-21T21:00:00.000,options,put
68,1589518320000,88.2,89.75,86.9,87.75,500,,17400,weekly,2020-5-21T21:00:00.000,options,put
69,1589518380000,86.8,89.35,86.15,88.6,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
70,1589518440000,90.55,93.4,90.45,91.1,900,,17400,weekly,2020-5-21T21:00:00.000,options,put
71,1589518500000,91.65,91.7,90.0,91.7,520,,17400,weekly,2020-5-21T21:00:00.000,options,put
72,1589518560000,93.5,93.5,91.7,93.0,440,,17400,weekly,2020-5-21T21:00:00.000,options,put
73,1589518620000,93.1,93.5,90.6,91.85,460,,17400,weekly,2020-5-21T21:00:00.000,options,put
74,1589518680000,92.1,93.0,91.0,92.35,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
75,1589518740000,93.6,94.2,92.85,93.85,460,,17400,weekly,2020-5-21T21:00:00.000,options,put
76,1589518800000,92.85,92.85,91.35,92.3,200,,17400,weekly,2020-5-21T21:00:00.000,options,put
77,1589518860000,94.25,94.25,90.85,92.3,1200,,17400,weekly,2020-5-21T21:00:00.000,options,put
78,1589518920000,91.55,93.1,90.95,92.5,680,,17400,weekly,2020-5-21T21:00:00.000,options,put
79,1589518980000,92.3,92.85,91.35,92.1,380,,17400,weekly,2020-5-21T21:00:00.000,options,put
80,1589519040000,91.55,91.55,88.95,89.9,720,,17400,weekly,2020-5-21T21:00:00.000,options,put
81,1589519100000,89.65,93.3,89.65,92.0,660,,17400,weekly,2020-5-21T21:00:00.000,options,put
82,1589519160000,92.0,93.95,92.0,93.95,480,,17400,weekly,2020-5-21T21:00:00.000,options,put
83,1589519220000,94.35,96.65,94.35,96.0,920,,17400,weekly,2020-5-21T21:00:00.000,options,put
84,1589519280000,97.35,102.4,97.35,99.5,5680,,17400,weekly,2020-5-21T21:00:00.000,options,put
85,1589519340000,99.5,100.9,96.55,97.6,1040,,17400,weekly,2020-5-21T21:00:00.000,options,put
86,1589519400000,97.6,100.0,96.8,100.0,1620,,17400,weekly,2020-5-21T21:00:00.000,options,put
87,1589519460000,99.8,99.8,97.0,98.75,1220,,17400,weekly,2020-5-21T21:00:00.000,options,put
88,1589519520000,99.2,100.0,97.5,97.5,2720,,17400,weekly,2020-5-21T21:00:00.000,options,put
89,1589519580000,97.85,98.6,97.0,98.0,520,,17400,weekly,2020-5-21T21:00:00.000,options,put
90,1589519640000,97.0,97.0,94.9,96.0,920,,17400,weekly,2020-5-21T21:00:00.000,options,put
91,1589519700000,94.5,97.9,94.5,97.05,540,,17400,weekly,2020-5-21T21:00:00.000,options,put
92,1589519760000,97.45,98.0,95.95,95.95,800,,17400,weekly,2020-5-21T21:00:00.000,options,put
93,1589519820000,96.35,98.0,96.35,97.35,620,,17400,weekly,2020-5-21T21:00:00.000,options,put
94,1589519880000,97.35,98.5,95.7,96.25,720,,17400,weekly,2020-5-21T21:00:00.000,options,put
95,1589519940000,96.25,96.25,93.0,94.25,960,,17400,weekly,2020-5-21T21:00:00.000,options,put
96,1589520000000,94.25,94.65,91.3,94.2,2260,,17400,weekly,2020-5-21T21:00:00.000,options,put
97,1589520060000,94.2,95.45,93.2,95.25,720,,17400,weekly,2020-5-21T21:00:00.000,options,put
98,1589520120000,95.0,95.0,93.25,93.25,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
99,1589520180000,95.85,96.95,95.85,96.95,100,,17400,weekly,2020-5-21T21:00:00.000,options,put
100,1589520240000,97.1,98.0,95.85,95.85,480,,17400,weekly,2020-5-21T21:00:00.000,options,put
101,1589520300000,97.85,98.85,96.8,98.85,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
102,1589520360000,98.05,99.9,96.8,99.3,560,,17400,weekly,2020-5-21T21:00:00.000,options,put
103,1589520420000,100.0,102.55,100.0,102.55,760,,17400,weekly,2020-5-21T21:00:00.000,options,put
104,1589520480000,102.3,102.85,99.45,100.0,960,,17400,weekly,2020-5-21T21:00:00.000,options,put
105,1589520540000,100.0,100.25,97.2,97.75,480,,17400,weekly,2020-5-21T21:00:00.000,options,put
106,1589520600000,97.75,98.6,97.2,97.2,200,,17400,weekly,2020-5-21T21:00:00.000,options,put
107,1589520660000,97.5,97.95,95.0,95.9,1020,,17400,weekly,2020-5-21T21:00:00.000,options,put
108,1589520720000,95.0,95.55,93.6,93.6,740,,17400,weekly,2020-5-21T21:00:00.000,options,put
109,1589520780000,93.95,94.8,92.4,92.9,420,,17400,weekly,2020-5-21T21:00:00.000,options,put
110,1589520840000,92.9,95.85,90.75,95.25,860,,17400,weekly,2020-5-21T21:00:00.000,options,put
111,1589520900000,95.0,95.0,92.75,93.5,180,,17400,weekly,2020-5-21T21:00:00.000,options,put
112,1589520960000,93.5,94.65,93.15,93.15,100,,17400,weekly,2020-5-21T21:00:00.000,options,put
113,1589521020000,93.2,93.5,93.1,93.5,100,,17400,weekly,2020-5-21T21:00:00.000,options,put
114,1589521080000,93.5,97.9,93.5,97.9,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
115,1589521140000,97.9,98.45,95.75,95.75,460,,17400,weekly,2020-5-21T21:00:00.000,options,put
116,1589521200000,94.3,94.7,93.1,93.1,100,,17400,weekly,2020-5-21T21:00:00.000,options,put
117,1589521260000,93.1,93.25,90.8,92.25,840,,17400,weekly,2020-5-21T21:00:00.000,options,put
118,1589521320000,91.9,93.6,91.45,93.4,540,,17400,weekly,2020-5-21T21:00:00.000,options,put
119,1589521380000,93.0,93.2,91.9,93.2,760,,17400,weekly,2020-5-21T21:00:00.000,options,put
120,1589521440000,93.2,95.6,93.2,95.6,380,,17400,weekly,2020-5-21T21:00:00.000,options,put
121,1589521500000,95.6,96.1,93.3,94.4,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
122,1589521560000,94.5,94.95,94.5,94.9,140,,17400,weekly,2020-5-21T21:00:00.000,options,put
123,1589521620000,94.8,95.35,94.55,95.35,100,,17400,weekly,2020-5-21T21:00:00.000,options,put
124,1589521680000,94.85,94.85,92.85,92.85,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
125,1589521740000,92.65,94.0,92.0,93.45,1700,,17400,weekly,2020-5-21T21:00:00.000,options,put
126,1589521800000,93.45,94.35,92.8,94.35,200,,17400,weekly,2020-5-21T21:00:00.000,options,put
127,1589521860000,94.85,94.85,94.0,94.0,60,,17400,weekly,2020-5-21T21:00:00.000,options,put
128,1589521920000,93.0,94.2,93.0,93.1,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
129,1589521980000,93.0,93.2,92.05,93.2,380,,17400,weekly,2020-5-21T21:00:00.000,options,put
130,1589522040000,93.2,94.5,93.2,93.25,440,,17400,weekly,2020-5-21T21:00:00.000,options,put
131,1589522100000,93.55,96.4,93.0,95.9,700,,17400,weekly,2020-5-21T21:00:00.000,options,put
132,1589522160000,95.9,96.15,95.15,95.4,140,,17400,weekly,2020-5-21T21:00:00.000,options,put
133,1589522220000,96.8,96.8,95.85,96.15,100,,17400,weekly,2020-5-21T21:00:00.000,options,put
134,1589522280000,97.0,97.85,96.15,96.75,1120,,17400,weekly,2020-5-21T21:00:00.000,options,put
135,1589522340000,97.55,100.7,97.55,100.2,580,,17400,weekly,2020-5-21T21:00:00.000,options,put
136,1589522400000,99.6,100.35,98.75,99.0,940,,17400,weekly,2020-5-21T21:00:00.000,options,put
137,1589522460000,96.0,97.85,95.0,95.0,1500,,17400,weekly,2020-5-21T21:00:00.000,options,put
138,1589522520000,95.0,95.0,93.3,94.0,620,,17400,weekly,2020-5-21T21:00:00.000,options,put
139,1589522580000,93.5,95.0,93.1,93.85,760,,17400,weekly,2020-5-21T21:00:00.000,options,put
140,1589522640000,93.85,93.85,90.65,91.65,1380,,17400,weekly,2020-5-21T21:00:00.000,options,put
141,1589522700000,93.0,94.15,92.75,94.15,80,,17400,weekly,2020-5-21T21:00:00.000,options,put
142,1589522760000,94.15,96.15,93.8,93.8,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
143,1589522820000,94.0,95.45,94.0,95.0,180,,17400,weekly,2020-5-21T21:00:00.000,options,put
144,1589522880000,94.8,94.8,92.8,92.8,540,,17400,weekly,2020-5-21T21:00:00.000,options,put
145,1589522940000,92.65,94.7,92.65,92.95,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
146,1589523000000,92.85,94.4,92.4,94.4,420,,17400,weekly,2020-5-21T21:00:00.000,options,put
147,1589523060000,94.2,94.4,93.7,94.4,220,,17400,weekly,2020-5-21T21:00:00.000,options,put
148,1589523120000,94.3,94.3,93.1,93.1,140,,17400,weekly,2020-5-21T21:00:00.000,options,put
149,1589523180000,92.4,93.2,92.4,92.5,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
150,1589523240000,91.75,92.2,91.1,92.2,360,,17400,weekly,2020-5-21T21:00:00.000,options,put
151,1589523300000,91.55,91.55,88.9,91.4,1180,,17400,weekly,2020-5-21T21:00:00.000,options,put
152,1589523360000,91.4,91.4,89.95,90.6,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
153,1589523420000,89.55,91.5,89.55,91.5,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
154,1589523480000,91.45,91.5,90.9,90.9,220,,17400,weekly,2020-5-21T21:00:00.000,options,put
155,1589523540000,91.3,91.3,90.15,91.1,620,,17400,weekly,2020-5-21T21:00:00.000,options,put
156,1589523600000,90.7,92.0,90.0,91.9,320,,17400,weekly,2020-5-21T21:00:00.000,options,put
157,1589523660000,91.3,92.55,90.65,92.55,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
158,1589523720000,91.65,92.35,91.4,91.4,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
159,1589523780000,90.8,91.25,90.3,90.3,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
160,1589523840000,90.0,90.0,88.25,89.3,400,,17400,weekly,2020-5-21T21:00:00.000,options,put
161,1589523900000,88.35,89.05,87.85,87.85,440,,17400,weekly,2020-5-21T21:00:00.000,options,put
162,1589523960000,88.45,88.45,85.45,87.9,1160,,17400,weekly,2020-5-21T21:00:00.000,options,put
163,1589524020000,87.9,89.75,87.9,89.75,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
164,1589524080000,90.4,90.6,89.35,89.9,240,,17400,weekly,2020-5-21T21:00:00.000,options,put
165,1589524140000,90.7,92.1,90.0,92.1,1540,,17400,weekly,2020-5-21T21:00:00.000,options,put
166,1589524200000,92.0,92.95,91.3,91.45,480,,17400,weekly,2020-5-21T21:00:00.000,options,put
167,1589524260000,91.15,92.2,91.15,91.75,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
168,1589524320000,92.0,92.7,91.75,91.75,460,,17400,weekly,2020-5-21T21:00:00.000,options,put
169,1589524380000,92.3,92.3,91.45,91.45,220,,17400,weekly,2020-5-21T21:00:00.000,options,put
170,1589524440000,91.45,92.6,91.35,91.75,340,,17400,weekly,2020-5-21T21:00:00.000,options,put
171,1589524500000,91.3,92.5,91.3,92.3,700,,17400,weekly,2020-5-21T21:00:00.000,options,put
172,1589524560000,93.0,93.0,93.0,93.0,20,,17400,weekly,2020-5-21T21:00:00.000,options,put
173,1589524620000,92.5,92.6,90.65,90.65,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
174,1589524680000,91.95,91.95,91.95,91.95,20,,17400,weekly,2020-5-21T21:00:00.000,options,put
175,1589524740000,91.75,93.0,91.75,92.75,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
176,1589524800000,92.2,92.75,91.5,91.5,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
177,1589524860000,91.9,92.8,91.9,92.0,240,,17400,weekly,2020-5-21T21:00:00.000,options,put
178,1589524920000,93.0,93.0,91.2,91.2,140,,17400,weekly,2020-5-21T21:00:00.000,options,put
179,1589524980000,91.35,91.35,91.0,91.3,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
180,1589525040000,90.0,90.4,87.7,89.55,1160,,17400,weekly,2020-5-21T21:00:00.000,options,put
181,1589525100000,89.8,90.15,88.85,89.8,320,,17400,weekly,2020-5-21T21:00:00.000,options,put
182,1589525160000,89.35,89.35,87.0,88.5,520,,17400,weekly,2020-5-21T21:00:00.000,options,put
183,1589525220000,87.7,88.4,87.7,88.25,380,,17400,weekly,2020-5-21T21:00:00.000,options,put
184,1589525280000,88.25,90.2,88.25,90.2,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
185,1589525340000,90.05,90.05,88.35,88.35,180,,17400,weekly,2020-5-21T21:00:00.000,options,put
186,1589525400000,89.0,90.45,89.0,90.05,260,,17400,weekly,2020-5-21T21:00:00.000,options,put
187,1589525460000,90.45,90.45,88.8,88.8,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
188,1589525520000,89.4,89.4,88.3,88.65,420,,17400,weekly,2020-5-21T21:00:00.000,options,put
189,1589525580000,90.2,90.2,88.2,88.2,120,,17400,weekly,2020-5-21T21:00:00.000,options,put
190,1589525640000,87.7,87.7,86.0,86.8,420,,17400,weekly,2020-5-21T21:00:00.000,options,put
191,1589525700000,86.3,86.3,80.05,83.05,3860,,17400,weekly,2020-5-21T21:00:00.000,options,put
192,1589525760000,83.05,84.1,82.7,83.65,560,,17400,weekly,2020-5-21T21:00:00.000,options,put
193,1589525820000,83.45,83.95,83.0,83.95,360,,17400,weekly,2020-5-21T21:00:00.000,options,put
194,1589525880000,84.9,85.5,84.75,85.5,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
195,1589525940000,84.7,84.7,81.7,81.7,600,,17400,weekly,2020-5-21T21:00:00.000,options,put
196,1589526000000,81.7,81.7,77.05,78.2,2400,,17400,weekly,2020-5-21T21:00:00.000,options,put
197,1589526060000,78.2,79.95,77.3,77.3,680,,17400,weekly,2020-5-21T21:00:00.000,options,put
198,1589526120000,76.55,77.8,74.7,77.8,1100,,17400,weekly,2020-5-21T21:00:00.000,options,put
199,1589526180000,77.8,78.0,75.45,75.45,1540,,17400,weekly,2020-5-21T21:00:00.000,options,put
200,1589526240000,76.7,76.7,75.8,76.7,300,,17400,weekly,2020-5-21T21:00:00.000,options,put
201,1589526300000,76.7,79.6,76.7,78.15,1520,,17400,weekly,2020-5-21T21:00:00.000,options,put
202,1589526360000,78.05,80.4,78.05,79.2,780,,17400,weekly,2020-5-21T21:00:00.000,options,put
203,1589526420000,80.0,81.25,80.0,81.2,560,,17400,weekly,2020-5-21T21:00:00.000,options,put
204,1589526480000,81.2,81.3,79.9,79.9,700,,17400,weekly,2020-5-21T21:00:00.000,options,put
205,1589526540000,78.7,79.95,78.7,78.85,220,,17400,weekly,2020-5-21T21:00:00.000,options,put
206,1589526600000,78.85,81.2,78.85,81.2,800,,17400,weekly,2020-5-21T21:00:00.000,options,put
207,1589526660000,82.55,82.55,80.75,81.6,280,,17400,weekly,2020-5-21T21:00:00.000,options,put
208,1589526720000,80.1,81.6,80.0,81.1,800,,17400,weekly,2020-5-21T21:00:00.000,options,put
209,1589526780000,81.75,83.7,81.6,83.7,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
210,1589526840000,83.0,84.05,82.1,84.05,980,,17400,weekly,2020-5-21T21:00:00.000,options,put
211,1589526900000,82.85,84.95,82.85,84.45,480,,17400,weekly,2020-5-21T21:00:00.000,options,put
212,1589526960000,83.1,83.7,81.0,81.65,620,,17400,weekly,2020-5-21T21:00:00.000,options,put
213,1589527020000,81.35,82.7,80.45,82.05,820,,17400,weekly,2020-5-21T21:00:00.000,options,put
214,1589527080000,81.4,81.4,81.0,81.35,60,,17400,weekly,2020-5-21T21:00:00.000,options,put
215,1589527140000,81.6,82.3,79.2,79.2,620,,17400,weekly,2020-5-21T21:00:00.000,options,put
216,1589527200000,79.2,81.15,79.2,79.85,1120,,17400,weekly,2020-5-21T21:00:00.000,options,put
217,1589527260000,80.5,80.5,79.85,80.3,60,,17400,weekly,2020-5-21T21:00:00.000,options,put
218,1589527320000,79.85,79.85,78.45,78.9,360,,17400,weekly,2020-5-21T21:00:00.000,options,put
