,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1532510100000,67.5,70.0,62.75,67.1,14080,,27500,weekly,2018-8-2T21:00:00.000,options,call
1,1532510160000,67.0,67.0,64.0,64.65,8160,,27500,weekly,2018-8-2T21:00:00.000,options,call
2,1532510220000,64.75,64.95,60.55,64.95,8840,,27500,weekly,2018-8-2T21:00:00.000,options,call
3,1532510280000,64.0,65.95,64.0,65.5,3280,,27500,weekly,2018-8-2T21:00:00.000,options,call
4,1532510340000,65.75,68.0,65.75,66.2,8680,,27500,weekly,2018-8-2T21:00:00.000,options,call
5,1532510400000,66.7,67.5,66.0,66.2,5800,,27500,weekly,2018-8-2T21:00:00.000,options,call
6,1532510460000,66.2,66.8,64.0,66.75,6360,,27500,weekly,2018-8-2T21:00:00.000,options,call
7,1532510520000,65.4,66.0,64.85,64.85,2520,,27500,weekly,2018-8-2T21:00:00.000,options,call
8,1532510580000,64.3,66.95,64.3,66.9,3680,,27500,weekly,2018-8-2T21:00:00.000,options,call
9,1532510640000,66.0,66.0,64.2,64.25,4520,,27500,weekly,2018-8-2T21:00:00.000,options,call
10,1532510700000,63.85,65.9,63.85,65.9,1120,,27500,weekly,2018-8-2T21:00:00.000,options,call
11,1532510760000,65.5,65.5,62.0,63.25,3480,,27500,weekly,2018-8-2T21:00:00.000,options,call
12,1532510820000,63.45,64.95,63.45,64.1,1480,,27500,weekly,2018-8-2T21:00:00.000,options,call
13,1532510880000,65.0,65.0,63.7,64.05,1800,,27500,weekly,2018-8-2T21:00:00.000,options,call
14,1532510940000,63.05,64.2,62.85,63.95,1360,,27500,weekly,2018-8-2T21:00:00.000,options,call
15,1532511000000,64.1,64.1,61.7,62.5,4000,,27500,weekly,2018-8-2T21:00:00.000,options,call
16,1532511060000,62.6,62.6,60.0,60.0,5400,,27500,weekly,2018-8-2T21:00:00.000,options,call
17,1532511120000,60.0,60.65,59.2,59.75,1360,,27500,weekly,2018-8-2T21:00:00.000,options,call
18,1532511180000,59.75,59.75,58.05,59.0,2240,,27500,weekly,2018-8-2T21:00:00.000,options,call
19,1532511240000,59.5,61.0,59.45,60.0,4240,,27500,weekly,2018-8-2T21:00:00.000,options,call
20,1532511300000,59.15,60.05,59.15,59.8,2440,,27500,weekly,2018-8-2T21:00:00.000,options,call
21,1532511360000,59.2,60.0,58.95,60.0,4400,,27500,weekly,2018-8-2T21:00:00.000,options,call
22,1532511420000,60.8,64.25,60.0,64.25,6360,,27500,weekly,2018-8-2T21:00:00.000,options,call
23,1532511480000,64.0,65.0,63.55,65.0,1000,,27500,weekly,2018-8-2T21:00:00.000,options,call
24,1532511540000,64.15,64.35,63.0,63.0,1760,,27500,weekly,2018-8-2T21:00:00.000,options,call
25,1532511600000,63.95,64.5,63.9,64.5,2280,,27500,weekly,2018-8-2T21:00:00.000,options,call
26,1532511660000,65.0,65.0,63.95,64.95,2280,,27500,weekly,2018-8-2T21:00:00.000,options,call
27,1532511720000,65.0,66.25,65.0,66.0,2120,,27500,weekly,2018-8-2T21:00:00.000,options,call
28,1532511780000,66.25,67.95,66.25,67.0,4360,,27500,weekly,2018-8-2T21:00:00.000,options,call
29,1532511840000,67.0,69.0,66.55,69.0,1040,,27500,weekly,2018-8-2T21:00:00.000,options,call
30,1532511900000,67.75,67.75,66.7,67.0,1760,,27500,weekly,2018-8-2T21:00:00.000,options,call
31,1532511960000,67.0,67.0,66.05,67.0,4040,,27500,weekly,2018-8-2T21:00:00.000,options,call
32,1532512020000,67.0,67.9,66.45,67.45,1640,,27500,weekly,2018-8-2T21:00:00.000,options,call
33,1532512080000,67.5,69.0,67.5,68.05,2320,,27500,weekly,2018-8-2T21:00:00.000,options,call
34,1532512140000,68.05,68.95,68.05,68.95,1040,,27500,weekly,2018-8-2T21:00:00.000,options,call
35,1532512200000,68.9,70.0,68.9,70.0,1440,,27500,weekly,2018-8-2T21:00:00.000,options,call
36,1532512260000,70.0,70.0,68.15,68.15,2840,,27500,weekly,2018-8-2T21:00:00.000,options,call
37,1532512320000,68.15,70.0,68.15,70.0,1840,,27500,weekly,2018-8-2T21:00:00.000,options,call
38,1532512380000,70.0,70.0,69.05,69.05,1280,,27500,weekly,2018-8-2T21:00:00.000,options,call
39,1532512440000,68.6,68.7,67.6,67.6,760,,27500,weekly,2018-8-2T21:00:00.000,options,call
40,1532512500000,67.95,68.6,67.95,68.5,440,,27500,weekly,2018-8-2T21:00:00.000,options,call
41,1532512560000,68.9,68.9,67.6,67.6,760,,27500,weekly,2018-8-2T21:00:00.000,options,call
42,1532512620000,67.7,68.95,67.7,68.95,400,,27500,weekly,2018-8-2T21:00:00.000,options,call
43,1532512680000,69.05,69.15,68.8,68.8,240,,27500,weekly,2018-8-2T21:00:00.000,options,call
44,1532512740000,69.0,69.4,68.55,68.65,360,,27500,weekly,2018-8-2T21:00:00.000,options,call
45,1532512800000,68.1,68.1,67.1,67.1,2000,,27500,weekly,2018-8-2T21:00:00.000,options,call
46,1532512860000,67.1,68.1,67.1,68.1,280,,27500,weekly,2018-8-2T21:00:00.000,options,call
47,1532512920000,67.2,67.25,64.35,64.65,4040,,27500,weekly,2018-8-2T21:00:00.000,options,call
48,1532512980000,65.4,65.75,65.4,65.75,520,,27500,weekly,2018-8-2T21:00:00.000,options,call
49,1532513040000,65.35,65.75,64.95,65.05,1160,,27500,weekly,2018-8-2T21:00:00.000,options,call
50,1532513100000,64.6,65.5,63.05,65.5,2440,,27500,weekly,2018-8-2T21:00:00.000,options,call
51,1532513160000,64.5,64.5,64.5,64.5,640,,27500,weekly,2018-8-2T21:00:00.000,options,call
52,1532513220000,65.5,67.05,65.5,67.0,1680,,27500,weekly,2018-8-2T21:00:00.000,options,call
53,1532513280000,67.45,67.45,64.85,64.85,680,,27500,weekly,2018-8-2T21:00:00.000,options,call
54,1532513340000,64.5,64.7,63.45,63.45,960,,27500,weekly,2018-8-2T21:00:00.000,options,call
55,1532513400000,64.0,65.0,63.6,64.9,1920,,27500,weekly,2018-8-2T21:00:00.000,options,call
56,1532513460000,65.0,65.3,65.0,65.3,240,,27500,weekly,2018-8-2T21:00:00.000,options,call
57,1532513520000,65.45,66.95,65.45,66.95,760,,27500,weekly,2018-8-2T21:00:00.000,options,call
58,1532513580000,67.05,67.5,67.05,67.05,320,,27500,weekly,2018-8-2T21:00:00.000,options,call
59,1532513640000,67.4,67.4,66.55,66.8,600,,27500,weekly,2018-8-2T21:00:00.000,options,call
60,1532513700000,66.8,67.0,66.0,66.9,800,,27500,weekly,2018-8-2T21:00:00.000,options,call
61,1532513760000,67.0,67.4,67.0,67.4,680,,27500,weekly,2018-8-2T21:00:00.000,options,call
62,1532513820000,67.4,67.5,66.95,66.95,560,,27500,weekly,2018-8-2T21:00:00.000,options,call
63,1532513880000,66.05,67.0,65.55,65.55,1200,,27500,weekly,2018-8-2T21:00:00.000,options,call
64,1532513940000,65.1,66.25,65.1,66.0,1440,,27500,weekly,2018-8-2T21:00:00.000,options,call
65,1532514000000,66.0,66.0,66.0,66.0,40,,27500,weekly,2018-8-2T21:00:00.000,options,call
66,1532514060000,66.0,66.0,65.6,65.6,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
67,1532514120000,65.6,67.0,65.6,67.0,1360,,27500,weekly,2018-8-2T21:00:00.000,options,call
68,1532514180000,66.8,67.85,66.8,67.85,1600,,27500,weekly,2018-8-2T21:00:00.000,options,call
69,1532514240000,67.15,67.15,66.0,66.0,1160,,27500,weekly,2018-8-2T21:00:00.000,options,call
70,1532514300000,66.4,66.95,66.4,66.95,2280,,27500,weekly,2018-8-2T21:00:00.000,options,call
71,1532514360000,67.45,67.45,66.6,67.0,1840,,27500,weekly,2018-8-2T21:00:00.000,options,call
72,1532514420000,66.55,67.65,66.5,66.65,1640,,27500,weekly,2018-8-2T21:00:00.000,options,call
73,1532514480000,66.05,66.9,66.05,66.9,600,,27500,weekly,2018-8-2T21:00:00.000,options,call
74,1532514540000,66.1,66.5,66.1,66.1,1200,,27500,weekly,2018-8-2T21:00:00.000,options,call
75,1532514600000,65.5,65.85,65.5,65.85,600,,27500,weekly,2018-8-2T21:00:00.000,options,call
76,1532514660000,65.8,66.0,64.05,64.05,2600,,27500,weekly,2018-8-2T21:00:00.000,options,call
77,1532514720000,63.0,63.0,60.5,62.3,4280,,27500,weekly,2018-8-2T21:00:00.000,options,call
78,1532514780000,62.3,63.5,61.05,63.35,1280,,27500,weekly,2018-8-2T21:00:00.000,options,call
79,1532514840000,63.5,65.0,62.95,65.0,1880,,27500,weekly,2018-8-2T21:00:00.000,options,call
80,1532514900000,65.95,65.95,64.5,65.0,2040,,27500,weekly,2018-8-2T21:00:00.000,options,call
81,1532514960000,65.0,66.0,65.0,65.05,880,,27500,weekly,2018-8-2T21:00:00.000,options,call
82,1532515020000,64.3,64.55,64.15,64.15,1240,,27500,weekly,2018-8-2T21:00:00.000,options,call
83,1532515080000,64.25,64.8,64.25,64.45,600,,27500,weekly,2018-8-2T21:00:00.000,options,call
84,1532515140000,64.2,64.2,62.85,63.0,1880,,27500,weekly,2018-8-2T21:00:00.000,options,call
85,1532515200000,63.9,64.9,63.9,64.5,1040,,27500,weekly,2018-8-2T21:00:00.000,options,call
86,1532515260000,64.95,65.8,64.8,64.8,1880,,27500,weekly,2018-8-2T21:00:00.000,options,call
87,1532515320000,64.2,65.8,64.05,65.8,1280,,27500,weekly,2018-8-2T21:00:00.000,options,call
88,1532515380000,65.9,65.9,64.95,65.9,800,,27500,weekly,2018-8-2T21:00:00.000,options,call
89,1532515440000,65.9,65.9,64.95,65.65,1440,,27500,weekly,2018-8-2T21:00:00.000,options,call
90,1532515500000,65.5,65.6,64.55,65.6,1200,,27500,weekly,2018-8-2T21:00:00.000,options,call
91,1532515560000,65.0,65.1,63.0,64.45,2080,,27500,weekly,2018-8-2T21:00:00.000,options,call
92,1532515620000,64.05,64.8,63.1,63.1,1560,,27500,weekly,2018-8-2T21:00:00.000,options,call
93,1532515680000,64.0,64.5,63.9,64.25,1920,,27500,weekly,2018-8-2T21:00:00.000,options,call
94,1532515740000,63.7,65.5,63.7,64.95,1520,,27500,weekly,2018-8-2T21:00:00.000,options,call
95,1532515800000,65.45,65.7,65.0,65.2,880,,27500,weekly,2018-8-2T21:00:00.000,options,call
96,1532515860000,65.0,65.9,64.1,64.9,1600,,27500,weekly,2018-8-2T21:00:00.000,options,call
97,1532515920000,65.3,65.5,64.6,65.5,520,,27500,weekly,2018-8-2T21:00:00.000,options,call
98,1532515980000,65.5,66.1,64.6,65.05,1880,,27500,weekly,2018-8-2T21:00:00.000,options,call
99,1532516040000,65.95,66.0,65.2,66.0,1400,,27500,weekly,2018-8-2T21:00:00.000,options,call
100,1532516100000,66.3,66.3,66.2,66.2,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
101,1532516160000,65.3,65.3,65.3,65.3,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
102,1532516220000,65.2,65.25,65.2,65.25,160,,27500,weekly,2018-8-2T21:00:00.000,options,call
103,1532516280000,65.2,66.0,65.0,66.0,1880,,27500,weekly,2018-8-2T21:00:00.000,options,call
104,1532516340000,65.75,69.9,65.7,69.4,3040,,27500,weekly,2018-8-2T21:00:00.000,options,call
105,1532516400000,69.95,69.95,69.0,69.0,2720,,27500,weekly,2018-8-2T21:00:00.000,options,call
106,1532516460000,69.5,71.45,69.5,71.05,2160,,27500,weekly,2018-8-2T21:00:00.000,options,call
107,1532516520000,71.4,73.0,71.0,71.0,1480,,27500,weekly,2018-8-2T21:00:00.000,options,call
108,1532516580000,70.05,70.05,69.2,69.2,400,,27500,weekly,2018-8-2T21:00:00.000,options,call
109,1532516640000,69.1,69.1,69.0,69.1,1520,,27500,weekly,2018-8-2T21:00:00.000,options,call
110,1532516700000,68.05,68.9,68.05,68.9,1360,,27500,weekly,2018-8-2T21:00:00.000,options,call
111,1532516760000,68.1,69.0,68.05,69.0,720,,27500,weekly,2018-8-2T21:00:00.000,options,call
112,1532516820000,69.0,69.0,68.95,68.95,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
113,1532516880000,68.1,69.0,68.1,68.85,1240,,27500,weekly,2018-8-2T21:00:00.000,options,call
114,1532516940000,68.7,69.4,68.7,69.4,360,,27500,weekly,2018-8-2T21:00:00.000,options,call
115,1532517000000,69.3,69.3,68.65,68.65,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
116,1532517060000,69.1,69.1,69.1,69.1,120,,27500,weekly,2018-8-2T21:00:00.000,options,call
117,1532517180000,68.75,69.0,68.55,68.55,1000,,27500,weekly,2018-8-2T21:00:00.000,options,call
118,1532517240000,68.4,68.4,66.35,67.2,3480,,27500,weekly,2018-8-2T21:00:00.000,options,call
119,1532517300000,67.0,67.55,67.0,67.55,120,,27500,weekly,2018-8-2T21:00:00.000,options,call
120,1532517360000,67.95,67.95,67.95,67.95,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
121,1532517420000,67.95,68.45,67.6,68.45,240,,27500,weekly,2018-8-2T21:00:00.000,options,call
122,1532517480000,68.9,68.9,68.9,68.9,40,,27500,weekly,2018-8-2T21:00:00.000,options,call
123,1532517540000,68.05,68.05,67.1,67.1,720,,27500,weekly,2018-8-2T21:00:00.000,options,call
124,1532517600000,66.8,68.0,66.6,66.6,1040,,27500,weekly,2018-8-2T21:00:00.000,options,call
125,1532517660000,66.55,66.95,65.05,66.95,2600,,27500,weekly,2018-8-2T21:00:00.000,options,call
126,1532517720000,66.9,66.9,66.9,66.9,40,,27500,weekly,2018-8-2T21:00:00.000,options,call
127,1532517780000,66.9,66.9,66.9,66.9,600,,27500,weekly,2018-8-2T21:00:00.000,options,call
128,1532517840000,67.0,67.0,67.0,67.0,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
129,1532517900000,66.25,66.25,65.0,65.0,840,,27500,weekly,2018-8-2T21:00:00.000,options,call
130,1532517960000,64.7,65.0,64.7,65.0,160,,27500,weekly,2018-8-2T21:00:00.000,options,call
131,1532518020000,65.95,66.05,65.9,66.0,360,,27500,weekly,2018-8-2T21:00:00.000,options,call
132,1532518080000,66.45,67.0,66.45,67.0,280,,27500,weekly,2018-8-2T21:00:00.000,options,call
133,1532518140000,66.4,66.4,66.4,66.4,40,,27500,weekly,2018-8-2T21:00:00.000,options,call
134,1532518200000,67.0,67.0,67.0,67.0,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
135,1532518260000,67.05,68.25,67.0,68.25,520,,27500,weekly,2018-8-2T21:00:00.000,options,call
136,1532518320000,67.75,67.75,67.1,67.1,200,,27500,weekly,2018-8-2T21:00:00.000,options,call
137,1532518380000,67.1,67.1,67.1,67.1,80,,27500,weekly,2018-8-2T21:00:00.000,options,call
138,1532518440000,68.0,68.3,67.7,67.7,280,,27500,weekly,2018-8-2T21:00:00.000,options,call
139,1532518560000,67.9,68.45,67.9,68.45,240,,27500,weekly,2018-8-2T21:00:00.000,options,call
140,1532518620000,68.25,69.4,68.1,68.1,680,,27500,weekly,2018-8-2T21:00:00.000,options,call
