,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1650359700000,24.25,24.25,11.45,13.85,176400,313750,35400,weekly,2022-4-21T21:00:00.000,options,put
1,1650359760000,13.8,14.45,13.65,13.9,94500,313750,35400,weekly,2022-4-21T21:00:00.000,options,put
2,1650359820000,13.85,16.25,13.85,15.75,75150,242400,35400,weekly,2022-4-21T21:00:00.000,options,put
3,1650359880000,15.65,16.05,14.95,15.85,50950,242400,35400,weekly,2022-4-21T21:00:00.000,options,put
4,1650359940000,16.05,16.05,15.0,15.2,37175,242400,35400,weekly,2022-4-21T21:00:00.000,options,put
5,1650360000000,14.9,17.25,14.6,16.15,38075,225750,35400,weekly,2022-4-21T21:00:00.000,options,put
6,1650360060000,16.15,17.6,16.0,17.2,25825,225750,35400,weekly,2022-4-21T21:00:00.000,options,put
7,1650360120000,17.15,18.3,16.7,18.3,23550,225750,35400,weekly,2022-4-21T21:00:00.000,options,put
8,1650360180000,18.3,19.85,18.1,18.5,51500,222050,35400,weekly,2022-4-21T21:00:00.000,options,put
9,1650360240000,18.4,20.2,17.9,18.4,66075,222050,35400,weekly,2022-4-21T21:00:00.000,options,put
10,1650360300000,18.25,18.65,17.35,17.95,16225,222050,35400,weekly,2022-4-21T21:00:00.000,options,put
11,1650360360000,17.95,18.2,16.95,16.95,18200,201675,35400,weekly,2022-4-21T21:00:00.000,options,put
12,1650360420000,16.95,17.0,15.3,15.4,19700,201675,35400,weekly,2022-4-21T21:00:00.000,options,put
13,1650360480000,15.25,16.45,15.1,16.05,13625,201675,35400,weekly,2022-4-21T21:00:00.000,options,put
14,1650360540000,15.85,16.5,15.4,15.4,12800,207550,35400,weekly,2022-4-21T21:00:00.000,options,put
15,1650360600000,15.45,15.45,14.05,14.1,36875,207550,35400,weekly,2022-4-21T21:00:00.000,options,put
16,1650360660000,14.15,14.25,13.45,13.7,28450,207550,35400,weekly,2022-4-21T21:00:00.000,options,put
17,1650360720000,13.9,14.55,13.65,14.15,17250,207875,35400,weekly,2022-4-21T21:00:00.000,options,put
18,1650360780000,14.15,15.45,14.15,14.7,25875,207875,35400,weekly,2022-4-21T21:00:00.000,options,put
