,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1617614100000,175.85,175.9,121.85,126.45,13775,59350,34600,weekly,2021-4-8T21:00:00.000,options,call
1,1617614160000,125.35,126.3,117.6,119.7,20150,59350,34600,weekly,2021-4-8T21:00:00.000,options,call
2,1617614220000,120.4,124.75,113.05,124.75,14625,60275,34600,weekly,2021-4-8T21:00:00.000,options,call
3,1617614280000,124.5,126.45,119.4,121.2,14225,60275,34600,weekly,2021-4-8T21:00:00.000,options,call
4,1617614340000,121.9,122.9,115.05,116.5,12975,60275,34600,weekly,2021-4-8T21:00:00.000,options,call
5,1617614400000,115.8,121.1,113.55,116.4,26200,68975,34600,weekly,2021-4-8T21:00:00.000,options,call
6,1617614460000,115.0,122.15,112.9,118.5,24575,68975,34600,weekly,2021-4-8T21:00:00.000,options,call
7,1617614520000,119.8,119.8,110.7,111.5,22975,68975,34600,weekly,2021-4-8T21:00:00.000,options,call
8,1617614580000,113.6,113.6,97.05,98.3,40475,85100,34600,weekly,2021-4-8T21:00:00.000,options,call
9,1617614640000,97.3,100.0,92.0,98.3,27900,85100,34600,weekly,2021-4-8T21:00:00.000,options,call
10,1617614700000,98.4,100.0,94.85,100.0,16775,85100,34600,weekly,2021-4-8T21:00:00.000,options,call
11,1617614760000,100.35,100.75,96.9,98.0,8875,99925,34600,weekly,2021-4-8T21:00:00.000,options,call
12,1617614820000,98.6,103.15,98.0,103.15,11825,99925,34600,weekly,2021-4-8T21:00:00.000,options,call
13,1617614880000,103.35,103.75,101.45,103.0,13300,99925,34600,weekly,2021-4-8T21:00:00.000,options,call
14,1617614940000,103.0,104.0,97.15,97.15,12075,104600,34600,weekly,2021-4-8T21:00:00.000,options,call
15,1617615000000,96.5,97.1,80.5,81.65,39075,104600,34600,weekly,2021-4-8T21:00:00.000,options,call
16,1617615060000,81.15,84.7,80.55,83.35,20150,104600,34600,weekly,2021-4-8T21:00:00.000,options,call
17,1617615120000,83.5,85.5,83.3,84.8,8800,116300,34600,weekly,2021-4-8T21:00:00.000,options,call
18,1617615180000,84.85,86.85,84.3,86.05,6825,116300,34600,weekly,2021-4-8T21:00:00.000,options,call
