,timestamp,open,high,low,close,volume,open_interest,strike,expiry_type,expiry,instrument,contract_type
0,1564996500000,6.6,7.0,4.25,4.9,2160,,29800,weekly,2019-8-8T21:00:00.000,options,call
1,1564996560000,4.85,5.25,4.4,4.45,3460,,29800,weekly,2019-8-8T21:00:00.000,options,call
2,1564996620000,4.95,4.95,4.3,4.3,1680,,29800,weekly,2019-8-8T21:00:00.000,options,call
3,1564996680000,4.3,4.4,4.0,4.05,1920,,29800,weekly,2019-8-8T21:00:00.000,options,call
4,1564996740000,4.05,5.15,4.05,5.15,1620,,29800,weekly,2019-8-8T21:00:00.000,options,call
5,1564996800000,5.15,5.15,4.7,4.7,860,,29800,weekly,2019-8-8T21:00:00.000,options,call
6,1564996860000,4.8,5.15,4.8,4.95,1060,,29800,weekly,2019-8-8T21:00:00.000,options,call
7,1564996920000,4.95,5.2,4.95,5.1,160,,29800,weekly,2019-8-8T21:00:00.000,options,call
8,1564996980000,5.1,5.3,4.75,5.15,1040,,29800,weekly,2019-8-8T21:00:00.000,options,call
9,1564997040000,5.0,5.25,4.8,4.85,540,,29800,weekly,2019-8-8T21:00:00.000,options,call
10,1564997100000,4.9,4.95,4.85,4.95,860,,29800,weekly,2019-8-8T21:00:00.000,options,call
11,1564997160000,5.0,5.0,4.55,4.8,1000,,29800,weekly,2019-8-8T21:00:00.000,options,call
12,1564997220000,4.7,4.8,4.5,4.65,1100,,29800,weekly,2019-8-8T21:00:00.000,options,call
13,1564997280000,4.6,4.65,4.6,4.65,140,,29800,weekly,2019-8-8T21:00:00.000,options,call
14,1564997340000,4.6,4.65,4.35,4.45,1060,,29800,weekly,2019-8-8T21:00:00.000,options,call
15,1564997400000,4.4,4.7,4.15,4.3,1400,,29800,weekly,2019-8-8T21:00:00.000,options,call
16,1564997460000,4.35,4.6,4.15,4.6,1060,,29800,weekly,2019-8-8T21:00:00.000,options,call
17,1564997520000,4.6,4.6,4.25,4.45,440,,29800,weekly,2019-8-8T21:00:00.000,options,call
18,1564997580000,4.45,4.65,4.4,4.65,1520,,29800,weekly,2019-8-8T21:00:00.000,options,call
19,1564997640000,4.65,4.65,4.4,4.6,840,,29800,weekly,2019-8-8T21:00:00.000,options,call
20,1564997700000,4.7,4.7,4.65,4.65,800,,29800,weekly,2019-8-8T21:00:00.000,options,call
21,1564997760000,4.7,4.8,4.45,4.75,1940,,29800,weekly,2019-8-8T21:00:00.000,options,call
22,1564997820000,4.8,4.9,4.8,4.9,520,,29800,weekly,2019-8-8T21:00:00.000,options,call
23,1564997880000,4.9,5.2,4.9,4.9,1820,,29800,weekly,2019-8-8T21:00:00.000,options,call
24,1564997940000,4.8,4.85,4.6,4.65,1460,,29800,weekly,2019-8-8T21:00:00.000,options,call
25,1564998000000,4.65,4.95,4.65,4.8,660,,29800,weekly,2019-8-8T21:00:00.000,options,call
26,1564998060000,4.9,5.4,4.9,5.4,2240,,29800,weekly,2019-8-8T21:00:00.000,options,call
27,1564998120000,5.25,5.5,5.15,5.35,1000,,29800,weekly,2019-8-8T21:00:00.000,options,call
28,1564998180000,5.35,5.5,5.0,5.0,3160,,29800,weekly,2019-8-8T21:00:00.000,options,call
29,1564998240000,4.9,4.9,4.75,4.75,1300,,29800,weekly,2019-8-8T21:00:00.000,options,call
30,1564998300000,4.7,4.75,4.7,4.75,100,,29800,weekly,2019-8-8T21:00:00.000,options,call
31,1564998360000,4.7,4.7,4.65,4.65,660,,29800,weekly,2019-8-8T21:00:00.000,options,call
32,1564998420000,4.65,4.65,4.65,4.65,180,,29800,weekly,2019-8-8T21:00:00.000,options,call
33,1564998480000,4.65,4.65,4.6,4.65,1120,,29800,weekly,2019-8-8T21:00:00.000,options,call
